Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2021,ln_Total_Assets,Large
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2022,ln_Total_Assets,Large
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2023,ln_Total_Assets,Large
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2024,ln_Total_Assets,Large
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2020,ln_Total_Assets,Small
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2021,ln_Total_Assets,Small
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân,2022,ln_Total_Assets,Small
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2023,ln_Total_Assets,Small
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2024,ln_Total_Assets,Small
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2020,ln_Total_Assets,Small
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2021,ln_Total_Assets,Small
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2022,ln_Total_Assets,Small
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2023,ln_Total_Assets,Small
BMC,Khoáng sản Bình Định,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2024,ln_Total_Assets,Small
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Large
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Large
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Large
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Large
BMP,Nhựa Bình Minh,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Large
BRC,Cao su Bến Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Small
BRC,Cao su Bến Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Small
BRC,Cao su Bến Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Small
BRC,Cao su Bến Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Small
BRC,Cao su Bến Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Small
BSR,Lọc Hóa dầu Bình Sơn,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2023,ln_Revenue,Medium
BSR,Lọc Hóa dầu Bình Sơn,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,2024,ln_Revenue,Medium
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Medium
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Medium
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Medium
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Medium
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Small
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2020,ln_Total_Assets,Small
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2021,ln_Total_Assets,Small
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2022,ln_Total_Assets,Small
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2023,ln_Total_Assets,Small
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,2024,ln_Total_Assets,Small
BWE,Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,2020,ln_Total_Assets,Large
BWE,Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,2021,ln_Total_Assets,Large
BWE,Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,2022,ln_Total_Assets,Large
BWE,Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,2023,ln_Total_Assets,Large
